Feature,F_Score,P_Value
Quantity,5666.578235670976,0.0
Unit Price,40.34183053386576,3.7538212196839185e-10
Discount_Rate,27.811386833668166,1.765124224557056e-07
Used_Discount_Encoded,27.811386833668,1.76512422455721e-07
Product_Encoded,2.4704863689587886,0.11643651312327394
City_Encoded,0.8795111002779072,0.3486466400552046
Month,0.5623206056080227,0.4535690054965046
IsWeekend,0.4346071740632248,0.509945366286769
DayOfWeek,0.24602736691216526,0.6200360369616722
Day,0.0005841728091728307,0.9807238964361212
